highalch,members,name,examine,id,value,icon,lowalch,limit
1.0,False,3rd age 2h axe,"A beautifully crafted axe, shaped by ancient smiths.",28226,1,3rd age 2h axe.png,1.0,
30300.0,True,3rd age amulet,Fabulously ancient mage protection enchanted in the 3rd Age.,10344,50500,3rd age amulet.png,20200.0,8.0
33000.0,True,3rd age axe,"A beautifully crafted axe, shaped by ancient smiths.",20011,55000,3rd age axe.png,22000.0,40.0
90000.0,True,3rd age bow,A beautifully crafted bow carved by ancient archers.,12424,150000,3rd age bow.png,60000.0,8.0
51000.0,True,3rd age cloak,A beautiful cloak woven by ancient tailors.,12437,85000,3rd age cloak.png,34000.0,8.0
120000.0,True,3rd age druidic cloak,A fabulously ancient vine cloak as worn by the druids of old.,23345,200000,3rd age druidic cloak.png,80000.0,8.0
120000.0,True,3rd age druidic robe bottoms,A fabulously ancient woven robe as worn by the druids of old.,23339,200000,3rd age druidic robe bottoms.png,80000.0,4.0
120000.0,True,3rd age druidic robe top,A fabulously ancient woven robe top as worn by the druids of old.,23336,200000,3rd age druidic robe top.png,80000.0,4.0
120000.0,True,3rd age druidic staff,A fabulously ancient gnarled staff as used by the druids of old.,23342,200000,3rd age druidic staff.png,80000.0,8.0
54000.0,True,3rd age full helmet,Fabulously ancient armour beaten from magical silver.,10350,90000,3rd age full helmet.png,36000.0,8.0
108000.0,True,3rd age kiteshield,Fabulously ancient armour beaten from magical silver.,10352,180000,3rd age kiteshield.png,72000.0,8.0
90000.0,True,3rd age longsword,A beautifully crafted sword forged by ancient blacksmiths.,12426,150000,3rd age longsword.png,60000.0,8.0
30240.0,True,3rd age mage hat,Fabulously ancient mage protection enchanted in the 3rd Age.,10342,50400,3rd age mage hat.png,20160.0,8.0
58770.0,True,3rd age pickaxe,"A beautifully crafted pickaxe, shaped by ancient smiths.",20014,97950,3rd age pickaxe.png,39180.0,40.0
120000.0,True,3rd age platebody,Fabulously ancient armour beaten from magical silver.,10348,200000,3rd age platebody.png,80000.0,8.0
120000.0,True,3rd age platelegs,Fabulously ancient armour beaten from magical silver.,10346,200000,3rd age platelegs.png,80000.0,8.0
120000.0,True,3rd age plateskirt,Fabulously ancient armour beaten from magical silver.,23242,200000,3rd age plateskirt.png,80000.0,8.0
30240.0,True,3rd age range coif,Fabulously ancient range protection crafted from white dragonhide.,10334,50400,3rd age range coif.png,20160.0,8.0
30360.0,True,3rd age range legs,Fabulously ancient range protection crafted from white dragonhide.,10332,50600,3rd age range legs.png,20240.0,8.0
30480.0,True,3rd age range top,Fabulously ancient range protection crafted from white dragonhide.,10330,50800,3rd age range top.png,20320.0,8.0
30360.0,True,3rd age robe,Fabulously ancient mage protection enchanted in the 3rd Age.,10340,50600,3rd age robe.png,20240.0,8.0
30480.0,True,3rd age robe top,Fabulously ancient mage protection enchanted in the 3rd Age.,10338,50800,3rd age robe top.png,20320.0,8.0
30300.0,True,3rd age vambraces,Fabulously ancient range protection crafted from white dragonhide.,10336,50500,3rd age vambraces.png,20200.0,8.0
90000.0,True,3rd age wand,A beautifully crafted wand infused by ancient wizards.,12422,150000,3rd age wand.png,60000.0,8.0
